formalRu,trivialRu,organic
HNO2,азотистая кислота,0
C,алмаз,0
NH3,аммиак,0
"NH3 (aq, 25%)",аммиачная вода,0
NH4H2PO4 + (NH4)2HPO4,аммофос,0
NH4H2PO4 + (NH4)2HPO4 + KNO3,аммофоска,0
CaSO4,ангидрит,0
Ba(OH)2,баритовая вода,0
KClO3,бертолетова соль,0
P4,белый фосфор,0
Al2O3·xH2O,боксит,0
Br2 (aq),бромная вода,0
сплав Cu + Sn/Fe/Al,бронзы,0
NO2,бурый газ,0
N2 + O2 + Ar,воздух,0
NaCl,галит,0
"F, Cl, Br, I",галогены,0
Ca(OH)2 (тв.),гашёная известь,0
Fe2O3,гематит,0
MeH,гидриды,0
NaClO,гипохлорит натрия,0
Na2SO4·10H2O,глауберова соль,0
Al2O3,глинозём,0
CaSO4·2H2O / CaSO4·0.5H2O,гипс,0
MgSO4·7H2O,горькая соль,0
SiO2 (~60%),гранит,0
C,графен,0
C,графит,0
2H2 + O2,гремучий газ,0
CaCO3·MgCO3,доломит,0
Fe3O4,железная окалина,0
FeS2,железный колчедан,0
FeSO4·7H2O,железный купорос,0
Ca(OH)2 (aq),известковая вода,0
Ca(OH)2 (суспензия),известковое молоко,0
CaCO3,известняк,0
KNO3,калийная селитра,0
CaCO3,кальцит,0
NaCl,каменная соль,0
NH2-CO-NH2,карбамид,0
CaC2,карбид кальция,0
KCl·MgCl2·6H2O,карналлит,0
SiO2,кварц,0
C,кокс,0
Al2O3,корунд,0
Fe2O3,красный железняк,0
P,красный фосфор,0
SiO2,кремнезем,0
Na3[AlF6],криолит,0
кристаллогидраты H2SO4,купоросы,0
сплав Cu + Zn,латунь,0
AgNO3,ляпис,0
Fe3O4,магнетит,0
MgCO3,магнезит,0
Fe3O4,магнитный железняк,0
Cu(OH)2·CuCO3,малахит,0
K2MnO4,манганат калия,0
CuSO4·5H2O,медный купорос,0
CaCO3,мел,0
Na2SO4·10H2O,мирабилит,0
NH2-CO-NH2,мочевина,0
CaCO3,мрамор,0
"NH3 (aq, 3–10%)",нашатырный спирт,0
NH4Cl,нашатырь,0
CaO,негашёная известь,0
NO2−,нитрит-ион,0
O3,озон,0
SO3 в H2SO4,олеум,0
KMnO4,перманганат калия,0
H2O2,пероксид водорода,0
ClO4−,перхлорат-ион,0
SiO2,песок,0
FeS2,пирит,0
HF,плавиковая кислота,0
K2CO3,поташ,0
CaHPO4·2H2O,преципитат,0
Fe2O3·nH2O + FeO(OH),ржавчина,0
соли HNO3,селитры,0
S8,сера моноклинная,0
S8,сера ромбическая,0
S∞,сера пластическая,0
H2SO3,сернистая кислота,0
SO2,сернистый газ,0
SiH4,силан,0
соли H2SiO3,силикаты,0
MeSi,силициды,0
KCl,сильвин,0
NaCl·KCl,сильвинит,0
Na2CO3,сода кальцинированная,0
Na2CO3·10H2O,сода кристаллическая,0
NaHCO3,сода питьевая,0
NH4+,соли аммония,0
Fe + C (<2%),сталь,0
Na2O·CaO·6SiO2,стекло,0
SO4^2−,сульфаты,0
S^2−,сульфиды,0
SO3^2−,сульфиты,0
Ca(H2PO4)2,суперфосфат двойной,0
Ca(H2PO4)2 + 2CaSO4·H2O,суперфосфат простой,0
CO2 (тв.),сухой лёд,0
Al + Fe3O4,термит,0
CO,угарный газ,0
CO2,углекислый газ,0
FeO2−,ферриты,0
CaF2,флюорит,0
PH3,фосфин,0
Ca3(PO4)2,фосфоритная мука,0
CFC соединения,фреоны,0
"C60, C80",фуллерены,0
C60 (кристалл),фуллерит,0
"O, S, Se, Te",халькогены,0
CuFeS2,халькопирит,0
HClO4,хлорная кислота,0
P,чёрный фосфор,0
NaNO3,чилийская селитра,0
Fe + C (>2%),чугун,0
"2,2,4-триметилпентан",изооктан,1
"2-метилбута-1,3-диен",изопрен,1
октановая кислота,каприловая кислота,1
декановая кислота,каприновая кислота,1
ε-капролактам,капролактам,1
полиамид-6,капрон,1
гексановая кислота,капроновая кислота,1
фенол,карболовая кислота,1
полиизопрен,каучук натуральный,1
поли(п-фенилентерефталамид),кевлар,1
нитроцеллюлоза,коллоксилин,1
метилфенол,крезол,1
бут-2-еновая кислота,кротоновая кислота,1
диметилбензол,ксилол,1
изопропилбензол,кумол,1
полиэтилентерефталат,лавсан,1
дисахарид (глюкоза + галактоза),лактоза,1
"2,6-диаминогексановая кислота",лизин,1
"2-гидроксипропан-1,2,3-трикарбоновая кислота",лимонная кислота,1
"октадека-9,12-диеновая кислота",линолевая кислота,1
"октадека-9,12,15-триеновая кислота",линоленовая кислота,1
пропандиовая кислота,малоновая кислота,1
дисахарид (глюкоза + глюкоза),мальтоза,1
бутановая кислота,масляная кислота,1
метилпропеновая кислота,метакриловая кислота,1
2-гидроксипропановая кислота,молочная кислота,1
карбамид,мочевина,1
метановая кислота,муравьиная кислота,1
полиамид,найлон,1
глицерилтринитрат,нитроглицерин,1
октадеценовая кислота,олеиновая кислота,1
гексадекановая кислота,пальмитиновая кислота,1
п-ацетаминофенол,парацетамол (тайленол),1
нонановая кислота,пеларгоновая кислота,1
тетрахлорэтен,перхлорэтилен,1
"2,4,6-тринитрофенол",пикриновая кислота,1
полициклический ароматический углеводород,пирен,1
азин (C5H5N),пиридин,1
диазин,пиримидин,1
"1,2,3-тригидроксибензол",пирогаллол,1
"1,2-дигидроксибензол",пирокатехин,1
нитроцеллюлоза (высокой степени нитрования),пироксилин,1
пятичленный гетероцикл (C4H5N),пиррол,1
полиметилметакрилат,плексиглас,1
